Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
14-Nov-2024,EQ,2815.0,2842.4,2736.25,2798.95,2818.25,2807.2,2793.03,3222.1,1513.05,2478112,6921441550.45,175000
13-Nov-2024,EQ,2876.0,2895.0,2782.9,2898.55,2798.0,2798.95,2808.05,3222.1,1513.05,3949602,11090661915.05,285055
12-Nov-2024,EQ,2931.2,2945.9,2880.0,2930.6,2884.05,2898.55,2912.87,3222.1,1513.05,2414528,7033200332.95,124178
11-Nov-2024,EQ,2962.35,3009.6,2889.05,2974.9,2920.0,2930.6,2946.34,3222.1,1513.05,2628672,7744972849.0,137708
08-Nov-2024,EQ,2910.0,2990.95,2851.25,2891.35,2960.6,2974.9,2932.06,3222.1,1473.55,4455563,13063961740.65,239380
07-Nov-2024,EQ,2971.75,2972.55,2857.95,2934.55,2900.0,2891.35,2910.04,3222.1,1473.55,4251557,12372187568.0,204748
06-Nov-2024,EQ,2910.0,2953.8,2885.4,2899.45,2912.4,2934.55,2925.64,3222.1,1473.55,2902347,8491225138.9,150639
05-Nov-2024,EQ,2875.5,2908.0,2822.1,2883.95,2890.0,2899.45,2877.99,3222.1,1473.55,3562624,10253195982.75,115664
04-Nov-2024,EQ,2804.5,2971.75,2804.5,2817.65,2878.0,2883.95,2876.88,3222.1,1473.55,7559263,21747115179.6,362491
01-Nov-2024,EQ,2780.0,2840.9,2780.0,2728.55,2826.45,2817.65,2807.12,3222.1,1450.0,1061709,2980347418.6,46914
31-Oct-2024,EQ,2707.7,2752.0,2671.6,2707.7,2751.3,2728.55,2709.6,3222.1,1450.0,3833325,10386764265.7,165119
30-Oct-2024,EQ,2689.25,2755.85,2669.05,2746.9,2700.0,2707.7,2722.71,3222.1,1450.0,5677865,15459177763.05,173902
29-Oct-2024,EQ,2762.0,2797.95,2702.55,2781.0,2743.55,2746.9,2734.8,3222.1,1450.0,3156567,8632590207.15,135960
28-Oct-2024,EQ,2730.0,2834.9,2713.9,2720.85,2788.0,2781.0,2788.92,3222.1,1450.0,2813985,7847967750.7,190929
25-Oct-2024,EQ,2825.0,2825.05,2679.3,2826.35,2726.65,2720.85,2715.16,3222.1,1450.0,4532596,12306704235.7,305866
24-Oct-2024,EQ,2763.0,2842.2,2763.0,2793.5,2834.9,2826.35,2812.0,3222.1,1450.0,3992102,11225775315.15,163897
23-Oct-2024,EQ,2876.15,2924.9,2781.25,2887.2,2794.3,2793.5,2843.79,3222.1,1450.0,7913897,22505485890.25,216249
22-Oct-2024,EQ,3005.0,3008.95,2878.2,2998.2,2889.3,2887.2,2933.72,3222.1,1450.0,4195638,12308844415.95,182571
21-Oct-2024,EQ,2959.75,3001.4,2892.9,2964.25,2998.95,2998.2,2960.36,3222.1,1450.0,5059952,14979280248.55,252336
18-Oct-2024,EQ,2945.35,2988.85,2914.7,2964.6,2965.0,2964.25,2961.76,3222.1,1450.0,3407751,10092931933.0,177177
17-Oct-2024,EQ,3055.0,3065.3,2952.2,3068.0,2960.0,2964.6,2979.43,3222.1,1450.0,3622197,10792077109.25,223538
16-Oct-2024,EQ,3138.0,3147.9,3052.15,3155.8,3068.0,3068.0,3080.49,3222.1,1450.0,1972106,6075058757.05,147424
15-Oct-2024,EQ,3177.0,3192.95,3086.55,3154.9,3154.8,3155.8,3127.74,3222.1,1450.0,2245701,7023973344.25,117012
14-Oct-2024,EQ,3151.0,3174.0,3115.0,3134.35,3155.0,3154.9,3155.22,3222.1,1450.0,2425178,7651962599.25,97400
11-Oct-2024,EQ,3200.0,3210.5,3121.0,3194.3,3136.8,3134.35,3148.63,3222.1,1450.0,1652856,5204226016.4,106728
10-Oct-2024,EQ,3156.0,3220.3,3155.0,3153.0,3191.6,3194.3,3196.77,3222.1,1450.0,2507231,8015049479.05,184816
09-Oct-2024,EQ,3164.8,3204.3,3145.0,3165.85,3154.75,3153.0,3168.73,3222.1,1450.0,2432656,7708425490.75,119641
08-Oct-2024,EQ,3074.0,3176.9,3066.0,3060.2,3169.25,3165.85,3132.88,3222.1,1450.0,6060165,18985758735.25,214050
07-Oct-2024,EQ,3028.0,3066.95,2982.9,3017.45,3062.0,3060.2,3031.21,3222.1,1450.0,2732276,8282112553.4,142221
04-Oct-2024,EQ,3127.05,3157.6,3009.5,3129.85,3019.0,3017.45,3071.8,3222.1,1450.0,4281562,13152120767.65,245327
03-Oct-2024,EQ,3085.0,3171.0,3072.45,3165.5,3137.6,3129.85,3135.52,3222.1,1450.0,3237011,10149722860.85,220055
01-Oct-2024,EQ,3105.5,3185.45,3095.8,3094.9,3168.0,3165.5,3148.04,3222.1,1450.0,4028211,12680985238.8,202691
30-Sep-2024,EQ,3163.15,3179.0,3087.0,3183.65,3115.0,3094.9,3114.0,3222.1,1450.0,3554400,11068390764.7,159274
27-Sep-2024,EQ,3171.0,3222.1,3152.55,3181.1,3190.0,3183.65,3186.02,3222.1,1450.0,6803795,21677008008.85,233093
26-Sep-2024,EQ,3072.0,3197.2,3045.65,3091.05,3169.0,3181.1,3131.62,3197.2,1450.0,4753617,14886512721.4,180991
25-Sep-2024,EQ,3045.0,3149.0,3034.55,3074.3,3092.0,3091.05,3092.75,3149.0,1450.0,4218815,13047751911.8,166721
24-Sep-2024,EQ,3020.0,3098.55,3020.0,3049.8,3075.0,3074.3,3068.43,3098.55,1450.0,3697722,11346187109.75,162487
