Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
14-Nov-2024,EQ,11055.0,11117.7,10892.1,11049.6,10992.95,11006.05,10978.75,13680.0,9737.65,431348,4735661111.2,76909
13-Nov-2024,EQ,11140.0,11142.85,10864.3,11143.1,11092.9,11049.6,11008.05,13680.0,9737.65,507710,5588898411.65,96997
12-Nov-2024,EQ,11392.05,11516.9,11107.25,11399.7,11125.0,11143.1,11266.67,13680.0,9737.65,549747,6193815636.3,73758
11-Nov-2024,EQ,11331.5,11518.15,11310.0,11303.0,11390.0,11399.7,11450.26,13680.0,9737.65,450681,5160413428.5,74035
08-Nov-2024,EQ,11260.5,11344.0,11125.6,11300.15,11302.0,11303.0,11255.77,13680.0,9737.65,269993,3038980419.4,55270
07-Nov-2024,EQ,11305.15,11385.0,11186.6,11354.25,11270.0,11300.15,11283.33,13680.0,9737.65,530194,5982352197.1,77768
06-Nov-2024,EQ,11219.0,11430.0,11172.6,11170.1,11351.0,11354.25,11336.35,13680.0,9737.65,416027,4716229708.15,76183
05-Nov-2024,EQ,11042.0,11275.0,11011.9,11052.45,11184.95,11170.1,11189.33,13680.0,9737.65,321159,3593554657.15,58838
04-Nov-2024,EQ,11295.0,11295.0,10860.0,11110.0,11064.35,11052.45,10993.4,13680.0,9737.65,444462,4886148091.35,77295
01-Nov-2024,EQ,11150.0,11209.55,11080.0,11076.45,11103.9,11110.0,11143.15,13680.0,9737.65,65670,731770383.35,10283
31-Oct-2024,EQ,11225.0,11247.55,11050.0,11256.45,11110.85,11076.45,11107.61,13680.0,9737.65,838211,9310524893.55,105127
30-Oct-2024,EQ,10979.0,11520.0,10945.0,11046.0,11264.7,11256.45,11313.49,13680.0,9737.65,1672966,18927087189.15,217046
29-Oct-2024,EQ,11450.0,11483.0,10742.45,11483.25,11005.0,11046.0,11035.75,13680.0,9737.65,2268683,25036612497.25,257624
28-Oct-2024,EQ,11504.8,11632.65,11440.0,11502.85,11480.0,11483.25,11516.32,13680.0,9737.65,613830,7069063740.65,65806
25-Oct-2024,EQ,11763.6,11794.3,11440.0,11763.7,11490.0,11502.85,11523.43,13680.0,9737.65,624582,7197327790.35,115797
24-Oct-2024,EQ,11998.95,11998.95,11636.9,11956.2,11789.0,11763.7,11762.76,13680.0,9737.65,552495,6498863500.85,101531
23-Oct-2024,EQ,11923.3,12119.9,11753.45,11923.3,11921.55,11956.2,11988.39,13680.0,9737.65,412638,4946865248.7,88463
22-Oct-2024,EQ,12215.95,12289.8,11840.0,12175.9,11955.0,11923.3,11982.45,13680.0,9737.65,904901,10842928866.9,140557
