Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
14-Nov-2024,EQ,786.6,792.0,772.0,786.25,776.0,774.3,779.43,1179.0,649.3,11740909,9151258844.2,313693
13-Nov-2024,EQ,787.0,792.65,775.55,784.85,786.85,786.25,785.62,1179.0,649.3,14674022,11528210756.95,391032
12-Nov-2024,EQ,806.0,813.1,783.05,804.7,784.75,784.85,792.6,1179.0,649.3,16526921,13099259115.85,594079
11-Nov-2024,EQ,801.0,831.45,792.0,805.45,805.0,804.7,816.67,1179.0,649.3,27587619,22529943363.6,575463
08-Nov-2024,EQ,821.95,822.0,801.1,819.75,803.55,805.45,807.29,1179.0,641.9,16072692,12975278301.6,478152
07-Nov-2024,EQ,841.0,842.75,817.3,839.7,821.8,819.75,826.73,1179.0,641.9,13237161,10943575455.95,381746
06-Nov-2024,EQ,843.9,843.9,826.0,835.65,840.5,839.7,836.11,1179.0,641.9,10579596,8845713534.7,273406
05-Nov-2024,EQ,821.5,843.6,820.4,824.1,835.6,835.65,832.4,1179.0,641.9,10215249,8503192983.75,255937
04-Nov-2024,EQ,840.0,844.45,814.5,843.45,824.2,824.1,822.77,1179.0,641.9,15514419,12764767992.3,467713
01-Nov-2024,EQ,847.95,847.95,840.0,834.05,843.1,843.45,844.54,1179.0,621.85,2900548,2449618401.3,134792
31-Oct-2024,EQ,843.85,843.85,831.85,840.2,835.25,834.05,835.59,1179.0,621.85,11904413,9947196716.7,287659
30-Oct-2024,EQ,846.0,853.6,838.05,842.75,840.0,840.2,845.85,1179.0,621.85,12933218,10939624878.4,328464
29-Oct-2024,EQ,880.25,882.5,825.7,878.45,844.0,842.75,843.06,1179.0,621.85,26818871,22609893023.45,726757
28-Oct-2024,EQ,867.85,886.75,860.2,864.3,881.9,878.45,876.38,1179.0,621.85,7106045,6227576352.3,203043
25-Oct-2024,EQ,883.9,885.75,857.3,880.0,864.05,864.3,865.79,1179.0,621.85,10873022,9413779457.85,379450
24-Oct-2024,EQ,875.25,890.0,875.25,877.65,880.5,880.0,882.7,1179.0,621.85,7233484,6385016045.35,286907
23-Oct-2024,EQ,879.0,885.6,863.3,879.5,876.0,877.65,876.37,1179.0,621.85,10553771,9248988266.3,356148
22-Oct-2024,EQ,905.0,906.1,875.25,903.3,881.5,879.5,886.02,1179.0,621.85,13617490,12065421624.5,532014
21-Oct-2024,EQ,912.05,917.65,898.1,910.15,902.75,903.3,905.03,1179.0,621.85,7390557,6688654541.95,204274
18-Oct-2024,EQ,894.3,917.7,886.8,891.6,911.0,910.15,906.85,1179.0,621.85,11527914,10454074347.95,300927
17-Oct-2024,EQ,914.95,914.95,890.05,907.45,894.3,891.6,899.88,1179.0,621.85,13864583,12476479509.4,552996
16-Oct-2024,EQ,917.05,923.0,900.0,917.3,906.15,907.45,909.4,1179.0,621.85,10298258,9365210713.5,370552
15-Oct-2024,EQ,932.95,935.35,913.0,928.25,918.9,917.3,920.38,1179.0,621.85,9058919,8337624875.65,281499
14-Oct-2024,EQ,930.0,940.0,925.35,930.7,929.0,928.25,932.68,1179.0,621.85,5740649,5354215635.85,207829
11-Oct-2024,EQ,932.0,937.0,928.5,928.5,931.4,930.7,932.01,1179.0,613.7,4459529,4156304745.4,151010
10-Oct-2024,EQ,933.75,943.6,912.35,939.15,930.6,928.5,932.19,1179.0,613.7,13249851,12351400535.9,350137
09-Oct-2024,EQ,926.8,948.45,925.5,919.8,939.0,939.15,941.16,1179.0,613.7,11557737,10877673698.75,317263
